epoch,step,train_bond_loss_x1,train_direction_loss_x4,train_feature_loss_x1,train_feature_loss_x4,train_loss,train_loss_x1,train_loss_x4,train_pos_loss_x1,train_pos_loss_x4
1,49,0.24028581380844116,0.5094631314277649,0.8410119414329529,0.0007186505827121437,3.099735736846924,1.93015456199646,1.1695811748504639,0.8488567471504211,0.6593993306159973
2,99,0.2167384773492813,0.6073523163795471,0.6472610831260681,0.0006249003345146775,2.776216506958008,1.4885165691375732,1.2876999378204346,0.624517023563385,0.6797226667404175
3,149,0.22134670615196228,0.4550567865371704,0.6889907121658325,0.00046290934551507235,2.3631513118743896,1.1974868774414062,1.1656644344329834,0.28714942932128906,0.7101447582244873
4,199,0.21623948216438293,0.3749310076236725,0.8062801957130432,0.0005246691289357841,2.0271754264831543,1.318638563156128,0.7085368633270264,0.2961188554763794,0.3330812156200409
5,249,0.21827569603919983,0.532425045967102,0.5446864366531372,0.0002849003067240119,2.080113649368286,1.0777500867843628,1.0023635625839233,0.31478801369667053,0.46965357661247253
7,299,0.19919757544994354,0.4303761422634125,0.7715445160865784,0.0003293537884019315,2.208998918533325,1.3753809928894043,0.8336179256439209,0.40463894605636597,0.4029124677181244
8,349,0.18235965073108673,0.32388851046562195,0.6908614635467529,0.0002035038050962612,2.0248770713806152,1.308579444885254,0.7162975072860718,0.43535831570625305,0.39220547676086426
9,399,0.16290178894996643,0.290473073720932,0.44704827666282654,0.0003062560863327235,1.4546527862548828,0.8448282480239868,0.609824538230896,0.23487822711467743,0.3190452456474304
10,449,0.1502435952425003,0.3335079848766327,0.5474562048912048,0.00018416625971440226,1.7851014137268066,1.1148264408111572,0.6702749729156494,0.4171265959739685,0.33658280968666077
11,499,0.14909078180789948,0.23055389523506165,0.6042854189872742,0.0001744941546348855,1.5274698734283447,1.071091651916504,0.4563782811164856,0.3177154064178467,0.2256499081850052
13,549,0.22230076789855957,0.3201899230480194,0.9344360828399658,0.00015954273112583905,2.0626392364501953,1.4467803239822388,0.6158589720726013,0.290043443441391,0.2955095171928406
14,599,0.19104401767253876,0.3244340717792511,0.8821625709533691,0.00012983250780962408,1.9910091161727905,1.3340308666229248,0.6569782495498657,0.2608243227005005,0.3324143588542938
15,649,0.12990251183509827,0.2769714295864105,0.608011782169342,0.00011827678099507466,1.5449750423431396,1.0179730653762817,0.5270020365715027,0.28005877137184143,0.2499123364686966
16,699,0.19004791975021362,0.25586146116256714,0.8065363168716431,0.00014173454837873578,1.75240159034729,1.2437739372253418,0.5086276531219482,0.24718977510929108,0.2526244521141052
17,749,0.12636668980121613,0.2143075168132782,0.438734233379364,0.00012270774459466338,1.2416110038757324,0.8452752232551575,0.39633578062057495,0.2801743149757385,0.18190555274486542
19,799,0.15052610635757446,0.24141912162303925,0.5867835879325867,0.0001525553670944646,1.4546488523483276,1.0054447650909424,0.44920408725738525,0.268135130405426,0.2076324075460434
20,849,0.20270127058029175,0.3446729779243469,0.8963354229927063,0.00011615706898737699,1.8335155248641968,1.1979793310165405,0.6355361938476562,0.09894265979528427,0.2907470762729645
21,899,0.11195997893810272,0.2750147581100464,0.46457579731941223,8.797330519882962e-05,1.2794824838638306,0.8404417037963867,0.43904080986976624,0.26390591263771057,0.16393807530403137
22,949,0.15178890526294708,0.28313198685646057,0.5295493602752686,9.75349685177207e-05,1.402368426322937,0.9515636563301086,0.450804740190506,0.2702253758907318,0.16757522523403168
23,999,0.1139681488275528,0.27763721346855164,0.46440041065216064,0.00012136824079789221,1.5378291606903076,0.9001427888870239,0.6376863121986389,0.3217742443084717,0.3599277436733246
24,1049,0.16054899990558624,0.2666700780391693,0.7845507860183716,6.000728171784431e-05,1.7374823093414307,1.2691946029663086,0.4682876467704773,0.3240947425365448,0.20155757665634155
26,1099,0.12546032667160034,0.23942266404628754,0.5616317987442017,8.756309398449957e-05,1.5080112218856812,0.8619726896286011,0.6460385322570801,0.17488057911396027,0.4065282940864563
27,1149,0.16684101521968842,0.14196854829788208,0.8238958120346069,6.165367813082412e-05,1.510698914527893,1.2313045263290405,0.27939438819885254,0.2405676394701004,0.1373641937971115
28,1199,0.14010049402713776,0.14323073625564575,0.6161689758300781,7.736704719718546e-05,1.5796704292297363,1.062463402748108,0.5172070264816284,0.30619391798973083,0.3738988935947418
29,1249,0.18010370433330536,0.1277134120464325,0.9020652770996094,6.641082291025668e-05,1.8013155460357666,1.3290985822677612,0.47221696376800537,0.24692967534065247,0.3444371521472931
30,1299,0.12125491350889206,0.1521645337343216,0.5028796195983887,5.183379107620567e-05,1.2326757907867432,0.9088077545166016,0.3238680362701416,0.28467318415641785,0.1716516762971878
32,1349,0.15674857795238495,0.25247976183891296,0.629105269908905,6.211722211446613e-05,1.5462045669555664,1.0584979057312012,0.48770660161972046,0.27264413237571716,0.23516473174095154
